iteration,current_bet_freq_QdQc,average_bet_freq_QdQc,current_bet_freq_QsQh,average_bet_freq_QsQh,current_bet_freq_QsQc,average_bet_freq_QsQc,current_bet_freq_QhQd,average_bet_freq_QhQd,current_bet_freq_QhQc,average_bet_freq_QhQc,current_bet_freq_QsQd,average_bet_freq_QsQd
0,1.000000,0.961538,1.000000,0.961538,1.000000,0.961538,1.000000,0.961538,1.000000,0.961538,1.000000,0.961538
1,1.000000,0.961538,1.000000,0.961538,1.000000,0.961538,1.000000,0.961538,1.000000,0.961538,1.000000,0.961538
2,0.000000,0.783654,0.000000,0.783654,0.000000,0.783654,0.000000,0.783654,0.000000,0.783654,0.000000,0.783654
3,0.000000,0.783654,0.000000,0.783654,0.000000,0.783654,0.000000,0.783654,0.000000,0.783654,0.000000,0.783654
4,0.000000,0.522436,0.000000,0.522436,0.000000,0.522436,0.000000,0.522436,0.000000,0.522436,0.000000,0.522436
5,0.000000,0.522436,0.000000,0.522436,0.000000,0.522436,0.000000,0.522436,0.000000,0.522436,0.000000,0.522436
6,0.000000,0.391827,0.000000,0.391827,0.000000,0.391827,0.000000,0.391827,0.000000,0.391827,0.000000,0.391827
7,0.000000,0.391827,0.000000,0.391827,0.000000,0.391827,0.000000,0.391827,0.000000,0.391827,0.000000,0.391827
8,0.000000,0.313462,0.000000,0.313462,0.000000,0.313462,0.000000,0.313462,0.000000,0.313462,0.000000,0.313462
9,0.000000,0.313462,0.000000,0.313462,0.000000,0.313462,0.000000,0.313462,0.000000,0.313462,0.000000,0.313462
10,0.000000,0.261218,0.000000,0.261218,0.000000,0.261218,0.000000,0.261218,0.000000,0.261218,0.000000,0.261218
11,0.000000,0.261218,0.000000,0.261218,0.000000,0.261218,0.000000,0.261218,0.000000,0.261218,0.000000,0.261218
12,0.000000,0.223901,0.000000,0.223901,0.000000,0.223901,0.000000,0.223901,0.000000,0.223901,0.000000,0.223901
13,0.000000,0.223901,0.000000,0.223901,0.000000,0.223901,0.000000,0.223901,0.000000,0.223901,0.000000,0.223901
14,0.000000,0.195913,0.000000,0.195913,0.000000,0.195913,0.000000,0.195913,0.000000,0.195913,0.000000,0.195913
15,0.000000,0.195913,0.000000,0.195913,0.000000,0.195913,0.000000,0.195913,0.000000,0.195913,0.000000,0.195913
16,0.000000,0.174145,0.000000,0.174145,0.000000,0.174145,0.000000,0.174145,0.000000,0.174145,0.000000,0.174145
17,0.000000,0.174145,0.000000,0.174145,0.000000,0.174145,0.000000,0.174145,0.000000,0.174145,0.000000,0.174145
18,0.832003,0.161406,0.832003,0.161406,0.832003,0.161406,0.832003,0.161406,0.832003,0.161406,0.832003,0.161406
19,0.832003,0.161406,0.832003,0.161406,0.832003,0.161406,0.832003,0.161406,0.832003,0.161406,0.832003,0.161406
20,1.000000,0.190250,1.000000,0.190250,1.000000,0.190250,1.000000,0.190250,1.000000,0.190250,1.000000,0.190250
21,1.000000,0.190250,1.000000,0.190250,1.000000,0.190250,1.000000,0.190250,1.000000,0.190250,1.000000,0.190250
22,1.000000,0.257194,1.000000,0.257194,1.000000,0.257194,1.000000,0.257194,1.000000,0.257194,1.000000,0.257194
23,1.000000,0.257194,1.000000,0.257194,1.000000,0.257194,1.000000,0.257194,1.000000,0.257194,1.000000,0.257194
24,1.000000,0.314333,1.000000,0.314333,1.000000,0.314333,1.000000,0.314333,1.000000,0.314333,1.000000,0.314333
25,1.000000,0.314333,1.000000,0.314333,1.000000,0.314333,1.000000,0.314333,1.000000,0.314333,1.000000,0.314333
26,0.200647,0.336738,0.200647,0.336738,0.200647,0.336738,0.200647,0.336738,0.200647,0.336738,0.200647,0.336738
27,0.200647,0.336738,0.200647,0.336738,0.200647,0.336738,0.200647,0.336738,0.200647,0.336738,0.200647,0.336738
28,0.000000,0.315673,0.000000,0.315673,0.000000,0.315673,0.000000,0.315673,0.000000,0.315673,0.000000,0.315673
29,0.000000,0.315673,0.000000,0.315673,0.000000,0.315673,0.000000,0.315673,0.000000,0.315673,0.000000,0.315673
30,0.000000,0.295943,0.000000,0.295943,0.000000,0.295943,0.000000,0.295943,0.000000,0.295943,0.000000,0.295943
31,0.000000,0.295943,0.000000,0.295943,0.000000,0.295943,0.000000,0.295943,0.000000,0.295943,0.000000,0.295943
32,0.000000,0.278535,0.000000,0.278535,0.000000,0.278535,0.000000,0.278535,0.000000,0.278535,0.000000,0.278535
33,0.000000,0.278535,0.000000,0.278535,0.000000,0.278535,0.000000,0.278535,0.000000,0.278535,0.000000,0.278535
34,0.000000,0.263060,0.000000,0.263060,0.000000,0.263060,0.000000,0.263060,0.000000,0.263060,0.000000,0.263060
35,0.000000,0.263060,0.000000,0.263060,0.000000,0.263060,0.000000,0.263060,0.000000,0.263060,0.000000,0.263060
36,0.000000,0.249215,0.000000,0.249215,0.000000,0.249215,0.000000,0.249215,0.000000,0.249215,0.000000,0.249215
37,0.000000,0.249215,0.000000,0.249215,0.000000,0.249215,0.000000,0.249215,0.000000,0.249215,0.000000,0.249215
38,0.000000,0.236754,0.000000,0.236754,0.000000,0.236754,0.000000,0.236754,0.000000,0.236754,0.000000,0.236754
39,0.000000,0.236754,0.000000,0.236754,0.000000,0.236754,0.000000,0.236754,0.000000,0.236754,0.000000,0.236754
40,0.000000,0.225480,0.000000,0.225480,0.000000,0.225480,0.000000,0.225480,0.000000,0.225480,0.000000,0.225480
41,0.000000,0.225480,0.000000,0.225480,0.000000,0.225480,0.000000,0.225480,0.000000,0.225480,0.000000,0.225480
42,0.000000,0.215231,0.000000,0.215231,0.000000,0.215231,0.000000,0.215231,0.000000,0.215231,0.000000,0.215231
43,0.000000,0.215231,0.000000,0.215231,0.000000,0.215231,0.000000,0.215231,0.000000,0.215231,0.000000,0.215231
44,0.000000,0.205873,0.000000,0.205873,0.000000,0.205873,0.000000,0.205873,0.000000,0.205873,0.000000,0.205873
45,0.000000,0.205873,0.000000,0.205873,0.000000,0.205873,0.000000,0.205873,0.000000,0.205873,0.000000,0.205873
