iteration,current_Check,current_Raise50,average_Check,average_Raise50
0,0.000000,1.000000,0.038462,0.961538
1,0.000000,1.000000,0.038462,0.961538
2,1.000000,0.000000,0.252922,0.747078
3,1.000000,0.000000,0.252922,0.747078
4,1.000000,0.000000,0.501948,0.498052
5,1.000000,0.000000,0.501948,0.498052
6,1.000000,0.000000,0.626461,0.373539
7,1.000000,0.000000,0.626461,0.373539
8,1.000000,0.000000,0.701169,0.298831
9,1.000000,0.000000,0.701169,0.298831
10,1.000000,0.000000,0.750974,0.249026
11,1.000000,0.000000,0.750974,0.249026
12,1.000000,0.000000,0.786549,0.213451
13,1.000000,0.000000,0.786549,0.213451
14,1.000000,0.000000,0.813231,0.186769
15,1.000000,0.000000,0.813231,0.186769
16,0.000000,1.000000,0.812264,0.187736
17,0.000000,1.000000,0.812264,0.187736
18,0.000000,1.000000,0.748551,0.251449
19,0.000000,1.000000,0.748551,0.251449
20,0.528462,0.471538,0.694572,0.305428
21,0.528462,0.471538,0.694572,0.305428
22,1.000000,0.000000,0.711926,0.288074
23,1.000000,0.000000,0.711926,0.288074
24,1.000000,0.000000,0.734085,0.265915
25,1.000000,0.000000,0.734085,0.265915
26,1.000000,0.000000,0.753079,0.246921
27,1.000000,0.000000,0.753079,0.246921
28,1.000000,0.000000,0.769541,0.230459
29,1.000000,0.000000,0.769541,0.230459
30,1.000000,0.000000,0.783944,0.216056
31,1.000000,0.000000,0.783944,0.216056
32,1.000000,0.000000,0.796654,0.203346
33,1.000000,0.000000,0.796654,0.203346
34,0.414335,0.585665,0.803610,0.196390
35,0.414335,0.585665,0.803610,0.196390
36,0.921355,0.078645,0.804328,0.195672
37,0.921355,0.078645,0.804328,0.195672
38,1.000000,0.000000,0.813809,0.186191
39,1.000000,0.000000,0.813809,0.186191
40,0.828843,0.171157,0.822549,0.177451
41,0.828843,0.171157,0.822549,0.177451
42,0.334226,0.665774,0.824731,0.175269
43,0.334226,0.665774,0.824731,0.175269
44,0.477013,0.522987,0.813611,0.186389
45,0.477013,0.522987,0.813611,0.186389
46,1.000000,0.000000,0.813565,0.186435
47,1.000000,0.000000,0.813565,0.186435
48,1.000000,0.000000,0.821023,0.178977
49,1.000000,0.000000,0.821023,0.178977
50,1.000000,0.000000,0.827907,0.172093
51,1.000000,0.000000,0.827907,0.172093
52,1.000000,0.000000,0.834280,0.165720
53,1.000000,0.000000,0.834280,0.165720
54,1.000000,0.000000,0.840199,0.159801
55,1.000000,0.000000,0.840199,0.159801
56,1.000000,0.000000,0.845709,0.154291
57,1.000000,0.000000,0.845709,0.154291
58,1.000000,0.000000,0.850852,0.149148
59,1.000000,0.000000,0.850852,0.149148
60,1.000000,0.000000,0.855664,0.144336
61,1.000000,0.000000,0.855664,0.144336
62,1.000000,0.000000,0.860174,0.139826
63,1.000000,0.000000,0.860174,0.139826
64,0.817545,0.182455,0.864199,0.135801
65,0.817545,0.182455,0.864199,0.135801
66,0.462980,0.537020,0.864502,0.135498
67,0.462980,0.537020,0.864502,0.135498
68,0.437014,0.562986,0.856944,0.143056
69,0.437014,0.562986,0.856944,0.143056
70,0.739639,0.260361,0.851488,0.148512
71,0.739639,0.260361,0.851488,0.148512
72,1.000000,0.000000,0.854208,0.145792
73,1.000000,0.000000,0.854208,0.145792
74,1.000000,0.000000,0.858045,0.141955
75,1.000000,0.000000,0.858045,0.141955
76,1.000000,0.000000,0.861685,0.138315
77,1.000000,0.000000,0.861685,0.138315
78,1.000000,0.000000,0.865143,0.134857
79,1.000000,0.000000,0.865143,0.134857
80,1.000000,0.000000,0.868432,0.131568
81,1.000000,0.000000,0.868432,0.131568
82,1.000000,0.000000,0.871564,0.128436
83,1.000000,0.000000,0.871564,0.128436
