iteration,current_Check,current_Raise50,average_Check,average_Raise50
0,0.000000,1.000000,0.038462,0.961538
1,0.000000,1.000000,0.038462,0.961538
2,1.000000,0.000000,0.216346,0.783654
3,1.000000,0.000000,0.216346,0.783654
4,1.000000,0.000000,0.477564,0.522436
5,1.000000,0.000000,0.477564,0.522436
6,1.000000,0.000000,0.608173,0.391827
7,1.000000,0.000000,0.608173,0.391827
8,1.000000,0.000000,0.686538,0.313462
9,1.000000,0.000000,0.686538,0.313462
10,1.000000,0.000000,0.738782,0.261218
11,1.000000,0.000000,0.738782,0.261218
12,1.000000,0.000000,0.776099,0.223901
13,1.000000,0.000000,0.776099,0.223901
14,1.000000,0.000000,0.804087,0.195913
15,1.000000,0.000000,0.804087,0.195913
16,1.000000,0.000000,0.825855,0.174145
17,1.000000,0.000000,0.825855,0.174145
18,0.167997,0.832003,0.838594,0.161406
19,0.167997,0.832003,0.838594,0.161406
20,0.000000,1.000000,0.809750,0.190250
21,0.000000,1.000000,0.809750,0.190250
22,0.000000,1.000000,0.742806,0.257194
23,0.000000,1.000000,0.742806,0.257194
24,0.000000,1.000000,0.685667,0.314333
25,0.000000,1.000000,0.685667,0.314333
26,0.799353,0.200647,0.663262,0.336738
27,0.799353,0.200647,0.663262,0.336738
28,1.000000,0.000000,0.684327,0.315673
29,1.000000,0.000000,0.684327,0.315673
30,1.000000,0.000000,0.704057,0.295943
31,1.000000,0.000000,0.704057,0.295943
32,1.000000,0.000000,0.721465,0.278535
33,1.000000,0.000000,0.721465,0.278535
34,1.000000,0.000000,0.736940,0.263060
35,1.000000,0.000000,0.736940,0.263060
36,1.000000,0.000000,0.750785,0.249215
37,1.000000,0.000000,0.750785,0.249215
38,1.000000,0.000000,0.763246,0.236754
39,1.000000,0.000000,0.763246,0.236754
40,1.000000,0.000000,0.774520,0.225480
41,1.000000,0.000000,0.774520,0.225480
42,1.000000,0.000000,0.784769,0.215231
43,1.000000,0.000000,0.784769,0.215231
44,1.000000,0.000000,0.794127,0.205873
45,1.000000,0.000000,0.794127,0.205873
46,1.000000,0.000000,0.802705,0.197295
47,1.000000,0.000000,0.802705,0.197295
48,1.000000,0.000000,0.810596,0.189404
49,1.000000,0.000000,0.810596,0.189404
50,0.867746,0.132254,0.817881,0.182119
51,0.867746,0.132254,0.817881,0.182119
52,0.313124,0.686876,0.819657,0.180343
53,0.313124,0.686876,0.819657,0.180343
54,0.000000,1.000000,0.804425,0.195575
55,0.000000,1.000000,0.804425,0.195575
56,0.000000,1.000000,0.778834,0.221166
57,0.000000,1.000000,0.778834,0.221166
58,0.000000,1.000000,0.752872,0.247128
59,0.000000,1.000000,0.752872,0.247128
60,0.000000,1.000000,0.728586,0.271414
61,0.000000,1.000000,0.728586,0.271414
62,0.000000,1.000000,0.705818,0.294182
63,0.000000,1.000000,0.705818,0.294182
64,0.479246,0.520754,0.690838,0.309162
65,0.479246,0.520754,0.690838,0.309162
66,1.000000,0.000000,0.693454,0.306546
67,1.000000,0.000000,0.693454,0.306546
68,1.000000,0.000000,0.702213,0.297787
69,1.000000,0.000000,0.702213,0.297787
70,1.000000,0.000000,0.710484,0.289516
71,1.000000,0.000000,0.710484,0.289516
72,1.000000,0.000000,0.718309,0.281691
73,1.000000,0.000000,0.718309,0.281691
74,1.000000,0.000000,0.725722,0.274278
75,1.000000,0.000000,0.725722,0.274278
76,1.000000,0.000000,0.732755,0.267245
77,1.000000,0.000000,0.732755,0.267245
78,1.000000,0.000000,0.739436,0.260564
79,1.000000,0.000000,0.739436,0.260564
80,1.000000,0.000000,0.745791,0.254209
81,1.000000,0.000000,0.745791,0.254209
82,1.000000,0.000000,0.751844,0.248156
83,1.000000,0.000000,0.751844,0.248156
